channel_identifier,genre,subscriber_count,total_views,video_count,channel_age_days,collected_video_count,avg_upload_interval_days,std_upload_interval_days,max_gap_days,hiatus_count_30d,avg_view_count,std_view_count,avg_like_count,avg_comment_count,avg_normal_view,regularity_score,cv,outlier_ratio,gap_ratio,sensitive_score,n_sensitive_videos,sensitive_video_ratio,cat_politics,cat_hate,cat_aggro,cat_adult_illegal,is_churned
CH03270,가수+댄스+음악,100000,45370000,77,3849,50,60.9,203.5,1393.0,9,426053.8,567727.54,4315.1,236.82,426053.8,0.4029,3.342,0.0408,22.87,0.0,0,0.0,0,0,0,0,0
CH03271,라이프+취미,100000,8860000,448,4408,50,32.9,58.38,321.0,14,1035.42,1024.21,61.9,9.32,1035.42,0.4688,1.775,0.0612,9.76,0.0,0,0.0,0,0,0,0,0
CH03272,IT+기술+컴퓨터,100000,30210000,2040,3801,50,14.12,17.66,72.0,10,5020.4,4387.9,62.9,21.66,5593.14,0.6316,1.251,0.102,5.1,0.0133,1,0.02,0,0,1,0,0
CH03273,만화+애니+영화,100000,9650000,112,5128,50,22.61,71.67,360.0,5,55364.56,57049.86,483.32,176.76,58799.55,0.4077,3.17,0.0408,15.92,0.0733,5,0.1,0,0,5,0,1
CH03274,스포츠+운동,100000,195810000,252,5066,50,2.82,4.96,26.0,0,296493.48,332015.98,3449.08,120.26,83236.78,0.4785,1.761,0.0816,9.23,0.04,3,0.06,0,0,3,0,0
CH03275,게임,100000,117890000,1564,3367,50,11.24,14.27,73.0,3,37768.98,15072.74,365.39,97.06,37768.98,0.6022,1.269,0.0612,6.49,0.1467,11,0.22,0,0,11,0,0
CH03276,자동차,100000,88290000,767,5337,50,2.88,3.76,17.0,0,23371.06,35226.75,121.18,32.98,28180.55,0.6091,1.307,0.0816,5.91,0.0267,2,0.04,0,0,2,0,0
CH03277,스포츠+운동,100000,33840000,455,2648,50,6.18,11.75,70.0,2,44346.38,36912.38,520.04,77.22,54190.57,0.4602,1.9,0.0408,11.32,0.0,0,0.0,0,0,0,0,0
CH03278,강의+교육,100000,3710000,168,5245,50,36.69,125.03,797.0,7,1516.14,2263.11,34.86,2.16,1235.97,0.3951,3.407,0.0612,21.72,0.02,1,0.02,0,0,1,0,1
CH03279,가수+댄스+음악,100000,9730000,476,6271,50,0.96,1.28,5.0,0,3583.14,8651.12,84.52,2.96,1079.5,0.6257,1.277,0.1224,5.0,0.0,0,0.0,0,0,0,0,0
CH03280,(미분류),100000,15470000,313,2623,50,3.49,1.84,9.0,0,3406.22,4556.36,105.22,23.8,3406.22,0.8028,0.528,0.0816,2.58,0.14,9,0.18,1,0,8,0,1
CH03282,국내+여행+해외,100000,28010000,147,2308,50,15.86,32.41,176.0,4,113495.82,92205.96,3046.2,324.86,113495.82,0.452,2.044,0.0408,11.1,0.0267,2,0.04,0,0,2,0,1
CH03283,(미분류),100000,15380000,111,4326,50,24.1,37.28,174.0,9,39756.46,63111.12,662.12,94.94,37320.59,0.5452,1.547,0.102,7.22,0.0,0,0.0,0,0,0,0,0
