channel_identifier,is_churned
CH03270,0
CH03271,0
CH03272,0
CH03273,1
CH03274,0
CH03275,0
CH03276,0
CH03277,0
CH03278,1
CH03279,0
CH03280,1
CH03282,1
CH03283,0
CH03284,0
CH03285,0
CH03286,0
CH03287,0
CH03288,0
CH03289,0
CH03290,0
CH03291,1
CH03295,1
CH03296,0
CH03297,0
CH03298,0
CH03299,0
CH03300,0
CH03301,0
CH03302,1
CH03303,1
CH03304,0
CH03305,0
CH03306,1
CH03307,0
CH03308,1
CH03309,0
CH03310,0
CH03311,0
CH03312,1
CH03313,0
CH03314,1
CH03317,0
CH03318,0
CH03319,1
CH03320,0
CH03323,1
CH03327,0
CH03329,1
CH03330,0
CH03331,0
CH03332,0
CH03333,0
CH03334,1
CH03335,0
CH03336,1
CH03337,0
CH03338,0
CH03339,0
CH03340,0
CH03341,0
CH03343,0
CH03345,0
CH03346,0
CH03347,0
CH03348,0
CH03349,0
CH03350,0
CH03352,0
CH03354,0
CH03355,0
CH03356,1
CH03358,1
CH03360,0
CH03361,1
CH03362,1
CH03363,0
CH03364,0
CH03365,0
CH03366,0
CH03367,0
CH03369,0
CH03370,0
CH03372,1
CH03373,1
CH03375,0
CH03376,1
CH03377,0
CH03378,0
CH03379,0
CH03380,0
CH03381,1
CH03382,1
CH03384,0
CH03385,1
CH03386,0
CH03387,0
CH03388,0
CH03389,0
CH03390,0
CH03392,0
CH03393,0
CH03394,0
CH03396,1
CH03397,0
CH03399,0
CH03400,0
CH03401,0
CH03402,0
CH03403,0
CH03404,1
CH03405,1
CH03407,0
CH03409,0
CH03410,0
CH03411,0
CH03412,0
CH03413,0
CH03415,1
CH03416,0
CH03417,0
CH03418,0
CH03419,0
CH03421,0
CH03422,0
CH03423,1
CH03424,0
CH03426,0
CH03428,1
CH03429,1
CH03431,0
CH03432,1
CH03433,1
CH03434,0
CH03435,0
CH03436,0
CH03437,0
CH03438,1
CH03439,0
CH03441,0
CH03443,1
CH03444,0
CH03445,1
CH03446,0
CH03447,0
CH03448,0
CH03450,1
CH03451,0
CH03452,0
CH03453,0
CH03454,1
CH03455,0
CH03456,0
CH03457,1
CH03458,0
CH03459,1
CH03460,1
CH03461,0
CH03462,0
CH03464,0
CH03466,0
CH03467,0
CH03468,1
CH03469,1
CH03470,1
CH03471,0
CH03472,1
CH03474,0
CH03475,0
CH03478,0
CH03479,0
CH03480,0
CH03481,1
CH03482,1
CH03483,0
CH03484,0
CH03485,1
CH03486,0
CH03487,0
CH03488,0
CH03489,0
CH03490,0
CH03491,1
CH03492,1
CH03493,0
CH03494,1
CH03496,0
CH03497,0
CH03498,1
CH03499,0
CH03501,0
CH03502,1
CH03503,0
CH03505,0
CH03507,0
CH03509,0
CH03510,1
CH03514,1
CH03516,0
CH03517,1
CH03518,0
CH03519,0
CH03520,0
CH03522,0
CH03523,1
CH03524,1
CH03526,1
CH03529,0
CH03530,1
