channel_id,title,actual_label,prob_lr,prob_rf,prob_xgb,stagnation_prob
UCklDsqQMGPYIMpIhQ5Jz6jA,모양몬 로블록스,1,1.0,0.988,1.0,0.996
UC9gxOp_-R78phMHmv2bW_sg,원지의하루,1,1.0,0.988,1.0,0.996
UCzjEp3u8RMkOJwpc3RzxmWg,콩콩이다,1,1.0,0.988,1.0,0.996
UCyyWcEhqfaqJQ56XdA44RYQ,챔보,1,1.0,0.988,1.0,0.996
UCZyYOvUGGiDFkEB8G9StWBA,집에서안나와 - with ANNA,1,1.0,0.988,1.0,0.996
UCY_75_5AD6kmq4qyXn9uqIQ,깡시안,1,1.0,0.987,1.0,0.996
UCfipyE65o7o06ci0hJeSdgw,하와이골프 [박형준프로],1,1.0,0.987,1.0,0.996
UCRg9AVKnk7uUWQlVHhg-phA,bobaepapa - 보배아빠,1,1.0,0.988,1.0,0.996
UCO1jhQjMhiI0YrHUGHyev7A,Mellowbeat Seeker,1,1.0,0.987,1.0,0.996
UC9gW47NqzI1x7e8qsflvUUw,한별Hanbyul,1,1.0,0.988,1.0,0.996
UCXmdpmRnf5WKMssvByY2Elg,김용녀,1,1.0,0.987,1.0,0.996
UCKvfTts0BCr0Zx6FWT_rtEw,김스카이,1,1.0,0.988,1.0,0.996
UCKmLQtR0YfTE6-gXFpR077A,키즈퐁당,1,1.0,0.987,1.0,0.996
UCSczOq3knfSQuxzCticNmrw,살아라! 콸콸이,1,1.0,0.987,1.0,0.996
UCKEGG4zVP3CGS_YSQOf654w,바다 탐험대 옥토넛,1,0.999,0.988,1.0,0.996
UCrlqF_4ePI1h02gKjIG0n2w,뽀로로랑 타요랑 뽀요TV,1,1.0,0.987,1.0,0.996
UCKL6uS0NywFgS2eg4jyOrAA,레전드히어로삼국전,1,1.0,0.987,1.0,0.996
UCCBm8nCGeIL8dFHAX8Hac8w,미니미니 MiniMini,1,1.0,0.987,1.0,0.996
UCqnYeCdELqXQulBZuK2y7sA,큰손 노희영,1,0.999,0.987,1.0,0.996
UC5SrT_bctIS5kU1BbJPfT6Q,포키포TV (POKIPO TV),1,1.0,0.987,1.0,0.996
UCmfVvmxwqjHNjqvNv06YMXg,쿠킹미제 COOKINGMEEZE,1,1.0,0.987,1.0,0.996
UCZVD--cl8FLRn7kmSudAuBA,과나gwana,1,1.0,0.987,1.0,0.996
UC005BPECU5QAR2JVItQOswg,띠예,1,1.0,0.987,1.0,0.996
UCyC_fseuxMu9snSuk8U9NvA,JoyKids,1,1.0,0.987,1.0,0.996
UCR89iZaBrjes0tINwzWhH4w,고기남자 본캐,1,1.0,0.986,1.0,0.995
UCIcukVnT1DNaru6N8BnTnoQ,효니월드,1,1.0,0.986,1.0,0.995
UCh9Uoo1GnL5WSAsKlwGEA9g,소피루비 · 티티체리 [SofyRuby ·  TeaTeaCherry],1,1.0,0.986,1.0,0.995
UCycoO2a67TSy0U_KshISieQ,빅마마 이혜정,1,1.0,0.986,1.0,0.995
UCrfiD6ArN-EjVwlp_X2RYJg,인테리어SHOW,1,1.0,0.986,1.0,0.995
UCd4vEfDwg_kzVI-9Eq8sPHA,알로직,1,0.999,0.987,1.0,0.995
UCx5y-MhhYlN7pQU4fw-9nvA,카폴,1,1.0,0.986,1.0,0.995
UC5YHB-c4TAbEc35nYYhNb-Q,희망나무 tv,1,1.0,0.986,1.0,0.995
UC6YF0HkLWIshcQtbjbtjzGQ,DARK MOON SAGA,1,0.999,0.986,1.0,0.995
UCBcFgDKnfyw8GjcHw90MlXA,하루아루TV HaruAruTV,1,1.0,0.986,1.0,0.995
