channel_name,category,subscriber_raw,subscriber_count,total_views_raw,total_views,video_count_raw,video_count,created_date,latest_video_date,days_since_latest_video,is_churned,youtube_channel_url,youtube_channel_id
장정숙,뉴스/정치/사회,1,1,492,492,3개,3,2016-06-08 15:54:31,2019-12-11 14:58:53,2346.0,1.0,https://www.youtube.com/channel/UCo3Yj54VtkEvQX9cLHKklzw,UCo3Yj54VtkEvQX9cLHKklzw
심해 생존일지스타트의,게임,1,1,940,940,3개,3,2017-08-07 02:58:34,2017-11-11 21:03:32,3106.0,1.0,https://www.youtube.com/channel/UCyABUa7lzjsV4o5PfSFqymw,UCyABUa7lzjsV4o5PfSFqymw
의원실김정우,뉴스/정치/사회,1,1,41,41,1개,1,2016-06-04 22:29:52,2017-03-08 15:56:28,3354.0,1.0,https://www.youtube.com/channel/UCGPHpVMxzO2rc5SqhGIc2tg,UCGPHpVMxzO2rc5SqhGIc2tg
장석주,미분류,1,1,0,0,0개,0,2013-10-08 16:03:43,,,,https://www.youtube.com/channel/UCDfRXnMKZmokf5Jtl8K6nHQ,UCDfRXnMKZmokf5Jtl8K6nHQ
- Topic,미분류,1,1,0,0,0개,0,2018-05-15 22:25:55,,,,https://www.youtube.com/channel/UCra9lyIlp4Q3eE-cDiEiJbw,UCra9lyIlp4Q3eE-cDiEiJbw
Release - Topic,미분류,1,1,0,0,0개,0,2025-07-04 04:18:03,,,,https://www.youtube.com/channel/UCL8XTe-S8Fecr-T8q80T_nA,UCL8XTe-S8Fecr-T8q80T_nA
Release - Topic,미분류,1,1,0,0,0개,0,2025-10-22 15:24:44,,,,https://www.youtube.com/channel/UCIiCTVbG87ZYItaClzI9Ilg,UCIiCTVbG87ZYItaClzI9Ilg
Release - Topic,미분류,1,1,0,0,0개,0,2026-01-15 06:23:57,,,,https://www.youtube.com/channel/UCi6gWpoBJQ1Ux1XSceLSwIQ,UCi6gWpoBJQ1Ux1XSceLSwIQ
래지빙,게임,2,2,553,553,1개,1,2017-10-15 12:04:13,2017-12-30 20:33:34,3057.0,1.0,https://www.youtube.com/channel/UCH-rYzvoHL8XmKYZXiw7rjg,UCH-rYzvoHL8XmKYZXiw7rjg
박인숙,뉴스/정치/사회,2,2,1497,1497,14개,14,2015-05-15 17:45:34,2018-08-03 11:39:56,2841.0,1.0,https://www.youtube.com/channel/UCb8syg6L9Xxww5HzQ5FO_YA,UCb8syg6L9Xxww5HzQ5FO_YA
Soyeon Yang,영화/만화/애니,2,2,1458,1458,29개,29,2013-06-10 08:18:55,2018-08-20 02:56:14,2824.0,1.0,https://www.youtube.com/channel/UCo_gG722HnnJ7O-AOt2xtRA,UCo_gG722HnnJ7O-AOt2xtRA
놀라운세상만사 (놀라운토끼),영화/만화/애니,2,2,0,0,0개,0,2015-01-09 16:37:57,,,,https://www.youtube.com/channel/UCTw6ia2lpn2WHYtxDsSvR0w,UCTw6ia2lpn2WHYtxDsSvR0w
Art H,영화/만화/애니,2,2,0,0,0개,0,2010-02-14 03:04:21,2017-09-04 13:41:06,3174.0,1.0,https://www.youtube.com/channel/UCFuH5yEZd_TfzVGCRY6ewDQ,UCFuH5yEZd_TfzVGCRY6ewDQ
시깅잉,게임,2,2,725,725,1개,1,2014-10-30 18:49:50,2018-04-30 01:26:56,2936.0,1.0,https://www.youtube.com/channel/UC1g84tSPnLoEGg019SnbyMw,UC1g84tSPnLoEGg019SnbyMw
kook0829,키즈/어린이,2,2,160,160,42개,42,2018-03-27 02:51:11,2020-02-06 17:10:54,2289.0,1.0,https://www.youtube.com/channel/UCgObnFUtTnEBShyROpedSGw,UCgObnFUtTnEBShyROpedSGw
- Topic,음악/댄스/가수,2,2,0,0,0개,0,2018-05-21 20:53:24,,,,https://www.youtube.com/channel/UC2QGq7pv-ZfZfTL8tcn2fNg,UC2QGq7pv-ZfZfTL8tcn2fNg
- Topic,미분류,2,2,0,0,0개,0,2018-10-20 04:25:30,,,,https://www.youtube.com/channel/UCfy7if7UC_8PGHzTqdefMmw,UCfy7if7UC_8PGHzTqdefMmw
CHANMIN - Topic,미분류,2,2,239만,2390000,36개,36,2020-10-16 12:46:42,2025-12-14 21:07:40,151.0,0.0,https://www.youtube.com/channel/UCb08QxHhtIuYtO9KV0vBdew,UCb08QxHhtIuYtO9KV0vBdew
Release - Topic,미분류,2,2,0,0,0개,0,2025-08-22 16:17:54,,,,https://www.youtube.com/channel/UCXF6lllaMo-pFOke57UfkYA,UCXF6lllaMo-pFOke57UfkYA
Release - Topic,미분류,2,2,0,0,0개,0,2025-10-31 17:38:53,,,,https://www.youtube.com/channel/UCNS0qxzM9CpDvK1vtMMDnhA,UCNS0qxzM9CpDvK1vtMMDnhA
Nodong TMSFT,키즈/어린이,3,3,5257,5257,11개,11,2017-01-27 11:38:39,2018-04-08 00:50:03,2958.0,1.0,https://www.youtube.com/channel/UC49c4hravOCVyp2Ua3pl_fQ,UC49c4hravOCVyp2Ua3pl_fQ
김성찬,뉴스/정치/사회,3,3,641,641,5개,5,2018-04-23 15:11:27,2019-05-24 14:05:54,2547.0,1.0,https://www.youtube.com/channel/UCFlRaX3qWhtoBKmN8R3fOgw,UCFlRaX3qWhtoBKmN8R3fOgw
seang tae kim,뉴스/정치/사회,3,3,194,194,1개,1,2016-06-07 15:21:03,2018-02-21 17:08:42,3004.0,1.0,https://www.youtube.com/channel/UCDkw4KsH57YEEFE1xlyD8-A,UCDkw4KsH57YEEFE1xlyD8-A
기준TV,뉴스/정치/사회,3,3,495,495,17개,17,2018-12-18 19:07:33,2019-10-21 19:30:35,2397.0,1.0,https://www.youtube.com/channel/UC8EiJ1MgI0S0UAqmWaTcoBw,UC8EiJ1MgI0S0UAqmWaTcoBw
야요,미분류,3,3,1256,1256,6개,6,2012-11-24 13:19:40,2024-10-16 15:12:19,575.0,1.0,https://www.youtube.com/channel/UCvsCQuCQKWLVI5GFcdtd5_w,UCvsCQuCQKWLVI5GFcdtd5_w
게임채널아티의,게임,3,3,0,0,0개,0,2017-05-03 17:14:46,2017-06-04 02:09:09,3266.0,1.0,https://www.youtube.com/channel/UC13XC53dxI4gDTyIezj_NAA,UC13XC53dxI4gDTyIezj_NAA
Justin Yang,게임,3,3,6490,6490,19개,19,2011-10-03 12:48:20,2017-09-21 20:04:08,3157.0,1.0,https://www.youtube.com/channel/UC3sZpEnOTiRFcMjelC55eMg,UC3sZpEnOTiRFcMjelC55eMg
HoHoon lee,미분류,3,3,2463,2463,8개,8,2011-10-11 12:37:01,2017-10-25 21:39:39,3123.0,1.0,https://www.youtube.com/channel/UCgM08L9CDIpCaZAAlc_zQ-g,UCgM08L9CDIpCaZAAlc_zQ-g
