channel_id,channel_title,regularity_score,mean_interval_days,std_interval_days,max_gap_days,cv,outlier_ratio,gap_ratio
UCMYu489PAK30L1eYR4eQJmA,킥튜브,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCPpPaYLh7GCIvzoVxHGyw0w,여의도 육퇴클럽,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCfA0tTDLNooBB0ymdoI5M7w,김성룡 바둑랩,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-oZBYC-XXCMde-13YjyD2g,픽잇 :Pick it,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCtdz9LWNNQKUg4Xpma_40Ug,Disney Plus Korea 디즈니 플러스 코리아,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCp6WQCReo512WxExm7u6Vyg,꺼리튜브,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UC82X4KKD7BtnAJiAjBetnJg,휴먼다큐 사노라면,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCs1omgoHHPENxs4b-fwMpPQ,오늘비와?,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCD8r5Jgns2V64-NcUmXclpg,전쓰트의 게임 채널 Junsst,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCmCNgLHdknmCdQelpwxQvvg,쫀득TV,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCj2gpUrZ7LMp4Mp1pVMKz0g,박홍기 작가 TV 삶 테크 ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCWeTWaC2WFKG2H3hjxYaOhg,솔로몬코드 SOLOMONCHORD,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UC7BTpqWY7L4e91U5AkLVShg,둠칫 Doomchit,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UC2wEx1iKCgXNliHYNDxIh2A,빼밀리,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCdh5nloZ9eo5YpZ2DRWwIew,새벽의 축구 전문가,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCzuC9opEFJ7HX2vgToeFwdg,주식랠리정보TV,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCOTJtP0Z9DjpPU43B5m1V6A,[ALTUBE] 김성현TV,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCnBht7BrOx-A328KFXgysqQ,쿠팡플레이 스포츠,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCXsbYbgwmk_zbTTdwCn_1Ig,엄튜브 ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCCh2AtOWxaIaZjfz_MbbDLQ,JamBeats,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCO0yyHfnQ51TOZcnskBZpGQ,뮤직월드 Music World,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCn9mJ4htO64-1osMWYu9k5Q,이스타TV,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCgHMe3RRfc9yFwHx3vK9ChQ,Petty Reads,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCBwCGrxCEdbAGO-QCrQzS4A,Etalk,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UCY5Xbo2lSFqdDQGZJTXfFZA,주간신보석,1.0,0.0,0.0,0.0,0.0,0.0,0.0
