channel_id,title,actual_label,prob_lr,prob_rf,prob_xgb,volatility_prob
UC0bXUn25faBH-JzlUEHNh7g,웃긴협회,1,1.0,0.991,1.0,0.997
UCdUlCaxi7gx9Q-WDVDe30YA,배스킨라빈스,1,1.0,0.991,1.0,0.997
UCxXgIeE5hxWxHG6dz9Scg2w,RAIN's Official Channel,1,1.0,0.99,1.0,0.997
UCCn0jN1hH5m6hMOB51WyAKw,세호가중계,1,1.0,0.99,1.0,0.997
UC3pk0eDcZx_oYGCWNyJpjMQ,나돌_NADOL,1,1.0,0.99,1.0,0.997
UC4gufpwYMB81tHLQplmRk2w,코코비 장난감 - 어린이 놀이 교실,1,1.0,0.99,1.0,0.997
UC7QX2YavsZmS7Se3ZKOsCLQ,GQ KOREA,1,1.0,0.99,1.0,0.997
UCm2BO5JBNKwja6D34cPk_hQ,싱글즈,1,1.0,0.99,1.0,0.996
UCci3lozteCexkJ4g0xj-9NQ,Dynamic Deep House,1,1.0,0.989,1.0,0.996
UCmPHhKCcgj0QcxM9C4OTTbA,Mr.아재,1,1.0,0.989,1.0,0.996
UCwq1kPJRZc6YrxK76o6-rRw,[Dubumung]두부멍,1,1.0,0.989,1.0,0.996
UCWXxoaQ9rUg-dw6W_ue-v0Q,1LLIONAIRE,1,1.0,0.989,1.0,0.996
UCYxyYe0yGYIlSaPDvwaO3TA,Napkins Music,1,1.0,0.989,1.0,0.996
UCEgIN0yG3PeVF4JfJ-ZG0UQ,보라미유 Boramiyu,1,1.0,0.989,1.0,0.996
UCsNH6vf07dmii61iZIhw_ww,미들뻔,1,1.0,0.989,1.0,0.996
UC8AD5KHdsFzp8qoJvS4YSYg,Warner Bros. Korea,1,1.0,0.989,1.0,0.996
UCk-JTg4sjiascKX6ZM2-DEA,DisneyMusicKoreaVEVO,1,1.0,0.989,1.0,0.996
UCw-HcGlT9V7ErYfoAPvem4A,GIRL'S DAY,1,1.0,0.989,1.0,0.996
UChLGxPXbXU_xIxTfTTMGn5g,코미디빅리그,1,1.0,0.989,1.0,0.996
UCWIyB84unq398yADVYW6acA,딩고 푸드,1,1.0,0.989,1.0,0.996
UCmHT58UeTIcHaapDNeTWKug,딩고 헬스 / dingo fitness,1,1.0,0.989,1.0,0.996
UCKVlixycWmapnGQ_wht4cHQ,LCK Global,1,1.0,0.989,1.0,0.996
UCYjgvxN7seXDEy6J3oo-YCQ,라치카 La Chica,1,1.0,0.989,1.0,0.996
UCBjvBJgIp3NGkrTBEfWBUVw,카카오,1,1.0,0.989,1.0,0.996
UCA2Aoj5nHJcBukGWLMccK7Q,우리집오늘의요리,1,1.0,0.989,1.0,0.996
UCrjVVhXZjmylRHEKvie-rWQ,스튜디오V [ STUDIO V ],1,1.0,0.989,1.0,0.996
UCBwCGrxCEdbAGO-QCrQzS4A,Etalk,1,1.0,0.989,1.0,0.996
UC6jNLJp1g2Noyc09lZCkZHg,AYO 에이요,1,1.0,0.989,1.0,0.996
UC6aP_I3jm56MBqY_2oZeoJQ,Smings World,1,1.0,0.989,1.0,0.996
UCHjj-qlJhYWDacFwnaewV6Q,KADOKAWA映画,1,1.0,0.989,1.0,0.996
UCVBGUcvRWktvd4_Q8FRU1cw,간단한 아이디어 — SIMPLE IDEAS,1,1.0,0.989,1.0,0.996
UCDXkn3VPpnQzWN6Xx3OgVQQ,DSPmedia,1,1.0,0.989,1.0,0.996
UCOrdY3p46GJh_CYacfwYieg,잡코리아x알바몬 𝚋𝚢 𝚆𝚘𝚛𝚡𝚙𝚑𝚎𝚛𝚎,1,1.0,0.989,1.0,0.996
UCRORVNDqX69ViG64hI7fYrw,어썸코리아 클립,1,1.0,0.989,1.0,0.996
UCycaNdMyMxurN4v8LZkMZ5g,American Music Awards,1,1.0,0.989,1.0,0.996
UCbdgW0Ap64NBBCUksodCG4w,햇살가득,1,1.0,0.989,1.0,0.996
UCtdz9LWNNQKUg4Xpma_40Ug,Disney Plus Korea 디즈니 플러스 코리아,1,1.0,0.988,1.0,0.996
UCAXw9EA1Ruu0Lcg_svVZ6uQ,딱 매거진 ddak!,1,1.0,0.989,1.0,0.996
UCTuthmF4oalKhSEg-k92tVA,명현만 MYUNG HYUN MAN,1,0.999,0.989,1.0,0.996
UCvvsOdnAQH4fl50DY17eV1A,쇼박스 SHOWBOX,1,1.0,0.988,1.0,0.996
UCJ_sOiMLKpEH39gESJCPmlw,9MUSES 나인뮤지스,1,0.999,0.989,1.0,0.996
UCDQLgP4w-yZiEKIscZJ5edA,타오르지마 버스터,1,0.999,0.989,1.0,0.996
UC_rBRrHKHnHkzgx8qIWwygg,현대자동차 (hyundai korea),1,1.0,0.988,1.0,0.996
UCHEEOe5SnxYau9puXKtqx5Q,Abby P,1,1.0,0.988,1.0,0.996
UCwUI2b5vUxnkjS-w0GTK-xQ,호와수,1,1.0,0.988,1.0,0.996
UCkR_4hIKdUTWz9wMPB-du8Q,MORE VISION,1,1.0,0.988,1.0,0.996
UClMlpXq4tDryAioZisO7JJQ,굿샷김프로,1,1.0,0.988,1.0,0.996
UC9HmUBz4XSIFmZYHftaxYuA,Bongyoung Park,1,1.0,0.988,1.0,0.996
UCuStgIu_NAts1Kk3y0IydJA,리플레이,1,1.0,0.988,1.0,0.996
UCbv7Dcn5iNrAyd3GwgVHkIQ,Disney Korea,1,1.0,0.988,1.0,0.996
UChg51lDUTR_8zWeNewdxaNw,안정환 19,1,0.999,0.989,1.0,0.996
UCkGHfaOvdHxoqftxHTCEsqg,Hyundai N Worldwide,1,1.0,0.988,1.0,0.996
UCIxfZIIQx6_8kguuEpGUaBA,플레이유 레벨업 : 빌런이 사는 세상,1,1.0,0.988,1.0,0.996
UCEffavre8oTRcQ8jVdnswPw,초관심,1,1.0,0.988,1.0,0.996
UC84IlgY5HIzxKBZOt8XM5UA,MPLAY : 엠플레이,1,1.0,0.988,1.0,0.996
UCeOzxT83EwMPjqL6enE8Olw,달려라치킨이야기,1,0.999,0.988,1.0,0.996
UCywgQ7co_nawQNpYDDahS1Q,Thestory M,1,0.999,0.988,1.0,0.996
UC854UQk63V8afMRnhcH_C7g,위뷰티 Webeauty,1,1.0,0.988,1.0,0.996
UCEzfaLiOfdvV8V44pzGGdrA,Yu Kagawa 카가와 유,1,1.0,0.988,1.0,0.996
UCZJzho51OZWpqq1evVId1cg,시언's쿨,1,0.998,0.989,1.0,0.996
UC-6FxcmnbyVeZaYc025I_xQ,이지쌤,1,1.0,0.988,1.0,0.996
UCah-d4pYWd5UT6xFbUZgFtg,스튜디오 훜 : STUDIO HOOK,1,1.0,0.988,1.0,0.996
UC1KHPyA5XiRMxiXcV9kruNA,"카더가든 (Car, the garden)",1,1.0,0.988,1.0,0.996
UCojKWdaKIXWEbHFZ66m2L_g,갸무또이,1,1.0,0.988,1.0,0.996
UC5Bf4dJ3dR9C3COg7_qmf2g,힘의길 / Road of the strength,1,1.0,0.987,1.0,0.996
UCvbJ9QMe4jjTsufYh4aDqWA,Mommy Son,1,1.0,0.987,1.0,0.996
UC2aMxQN1ufDytsl6c-keLhA,김태원클라쓰,1,0.999,0.988,1.0,0.996
UC50HiPRDIXQMcB9orOdlbaQ,비엠TV,1,1.0,0.987,1.0,0.996
UCbbuHjMbzBn4fVd1hV77Ddw,HOLLAND,1,1.0,0.987,1.0,0.996
UCkARt3BEOlHCNtLPVuKZgQA,바른건강,1,1.0,0.987,1.0,0.996
UCQbmDuGdJLrqKaMbFxlPAZA,Hi-Lite Records 하이라이트레코즈,1,1.0,0.987,1.0,0.996
UCym5538xAEEppbridXozfgw,wavve 웨이브,1,1.0,0.987,1.0,0.996
UCHTZl9wrDAV45L8IPS7ZYzg,정은지 EUNJI,1,1.0,0.987,1.0,0.996
UC4WiDdgV-RWCsArI0m-p28w,YG KRUNK,1,1.0,0.987,1.0,0.996
UCtCpkkzNnYixE9GEJVaCI8g,JUNGSAEMMOOL,1,0.999,0.988,1.0,0.996
UCtupKg-bVtyq2oWNQnLLCeA,홍고고 HONGGOGO,1,1.0,0.987,1.0,0.996
UC0amQTlNLu0qdBgyDt1_k4A,머쉬베놈,1,1.0,0.987,1.0,0.996
UC5k6aYqu4XEqT8RNb_FWL9g,Mini Story ,1,1.0,0.987,1.0,0.996
UCDRtZhASdfRnyhae7s-UemA,TEAM UNIVERSE,1,1.0,0.987,1.0,0.996
UCYC3ZZMiYLptqJeDoCTtRbg,은기자의 왜떴을까TV - Reporter Eun’s LIT NEWS,1,1.0,0.987,1.0,0.996
UC0imORt231LWWyyotvE3lUw,실화 On,1,1.0,0.987,1.0,0.996
UCEkcg9WqCX4sGxRQ3uUkekA,스발바르 저장고 ,1,1.0,0.987,1.0,0.996
