channel_id,channel_title,sensitive_score,churn_prob,stagnation_prob,volatility_prob,regularity_score,active_viewer_score,traffic_risk,reputation_risk,fandom_risk,risk,rank
UCdf4di4k4fU5lio8ZXQx6mQ,루스명품,0.7733,0.066,0.925,0.023,0.7558,0.6058,0.31455,0.7733,0.6058,0.540875,D
UC6nxfRgvAEcUPxQxsvF6lzw,미친감성 (감성사운드),0.7,0.144,0.987,0.995,0.5537,0.365,0.643075,0.7,0.365,0.550963,D
UCWLdJ-g9j-ZUwlnR7fU1yCQ,강스라이팅,0.6933,0.92,0.026,0.003,0.4681,0.3685,0.370225,0.6933,0.3685,0.393868,B
UCzz58-H0wzmGoFi3MO_9ePQ,온마이크,0.6733,0.873,0.013,0.979,0.5677,0.3582,0.574325,0.6733,0.3582,0.514698,D
UCHkaQ4y4j3zrB0FfTU1Lc9w,더빙신안윤상,0.6267,0.168,0.017,0.02,0.6324,0.3626,0.14315,0.6267,0.3626,0.312385,A
UCLsJ7sVuGf0auEySnT2BHag,풋볼 포레스트 - Forrest Football,0.4733,0.004,0.102,0.086,0.7638,0.3572,0.10704999999999999,0.4733,0.3572,0.309685,A
UCSDUtDZNdNzR6weEb1QJNDQ,점집 용군TV,0.4467,0.002,0.918,0.913,1.0,0.6029,0.45825000000000005,0.4467,0.6029,0.639955,F
UCc4OuY3PeWklqBzQ3ySi3xA,트래블튜브,0.4467,0.004,0.995,0.0,0.7728,0.3625,0.30655,0.4467,0.3625,0.411145,B
UCPpfTHg0QAHH4WqKZuLzimg,기묘한 케이지,0.4067,0.006,0.04,0.017,0.7508,0.6097,0.07805,0.4067,0.6097,0.386275,B
UCcbmCvUkjCEb0BJkJbR4EVQ,댓글 읽어주는 기자들,0.4,0.949,0.01,0.004,0.373,0.1725,0.39749999999999996,0.4,0.1725,0.276,A
UCZ29rWWIqvFHQCsfhxZTqDA,영크릿l Young Cret,0.3867,0.899,0.984,0.995,0.4094,0.8916,0.8671500000000001,0.3867,0.8916,0.806235,F
UCVH-ebyY6XQJdqg1DpfiYMQ,시사링크,0.3733,0.037,0.069,0.7,0.6636,0.1839,0.28559999999999997,0.3733,0.1839,0.29459,A
UCbp1HhKUDmeI6enMXUxtgrg,연예 뒤통령이진호,0.3667,0.004,0.096,0.0,0.7682,0.3594,0.08295,0.3667,0.3594,0.288955,A
UC-FaJiyj_aXKCRwvnIHsQhw,인생꿀템,0.3636,0.031,0.01,0.0,0.6835,0.6025,0.089375,0.3636,0.6025,0.367923,B
UCBKMc4nWENw_WGqkbzx-Lrg,STN SPORTS,0.36,0.006,0.994,0.989,0.4056,0.6016,0.64585,0.36,0.6016,0.575965,F
UC-i29uxJTqD7xOWZJ-9lEQw,자영업의 모든것,0.34,0.007,0.053,0.002,0.8121,0.1804,0.06247499999999999,0.34,0.1804,0.215423,A
UCXsbYbgwmk_zbTTdwCn_1Ig,엄튜브 ,0.3333,0.006,0.013,0.018,1.0,0.172,0.00925,0.3333,0.172,0.231755,A
UC2VDsgZ343N9hKnEXQWKnag,로이어프렌즈 - 변호사 친구들,0.3,0.005,0.944,0.975,0.6511,0.3547,0.568225,0.3,0.3547,0.493768,D
UCb_-XuhdmmhJCkhYUN8ANVQ,하루세끼 daily meals,0.2933,0.006,0.969,0.009,0.784,0.6061,0.3,0.2933,0.6061,0.49277,D
UCFMzJRPsLOL17lwxN_MdcnA,아려랑,0.2867,0.003,0.952,0.063,0.9319,0.6043,0.271525,0.2867,0.6043,0.514128,D
UCOYl4i2HmddYjV2eoxVjlUw,붐바야,0.28,0.026,0.995,0.0,0.4213,0.6144,0.399925,0.28,0.6144,0.454047,C
UCbeBMwef70Vna8doUWiN4Vg,나의 쓰레기 아저씨,0.28,0.005,0.099,0.027,0.6652,0.6082,0.11645,0.28,0.6082,0.370805,B
UC4E2S3T37vJ3Mi2sYrnhE_Q,살림스케치salimsketch,0.28,0.92,0.995,0.996,0.6588,0.872,0.81305,0.28,0.872,0.823025,F
UCD8r5Jgns2V64-NcUmXclpg,전쓰트의 게임 채널 Junsst,0.2733,0.003,0.087,0.0,1.0,0.604,0.0225,0.2733,0.604,0.40518,B
UCPjU1AXgsst8WcqaubAY-6A,은하스타,0.2733,0.292,0.003,0.05,0.4492,0.3746,0.22394999999999998,0.2733,0.3746,0.276445,A
UCsLgKKiv8kDDGy1stC8BxVA,공부의신 강성태,0.2667,0.246,0.992,0.97,0.5575,0.3612,0.662625,0.2667,0.3612,0.516838,D
UCO_HUi1SA_FoWMa-Zo3RHKg,SOONIGROUP [수니그룹],0.2667,0.004,0.986,0.912,0.6703,0.6096,0.557925,0.2667,0.6096,0.592048,F
UCpSCdYMV3240T-h3RugN1qA,카사딘하는사람,0.2533,0.033,0.073,0.0,0.8196,0.8656,0.0716,0.2533,0.8656,0.48727,D
UCw2zOqd6hXsny79qDki_Z4w,삐라,0.2533,0.023,0.068,0.013,0.6157,0.8675,0.12207499999999999,0.2533,0.8675,0.462293,C
UCNeHPUKNUBmBMZy_rzHPzSw,류으미,0.24,0.003,0.957,0.005,0.8222,0.3606,0.28569999999999995,0.24,0.3606,0.39164,B
UCE9PHKsLJbfdrJeLCLqDY3g,김동수,0.24,0.004,0.683,0.993,1.0,0.177,0.42000000000000004,0.24,0.177,0.4298,B
UCtj_00nn_viF6wJNeqgpEiA,차도르,0.24,0.004,0.737,0.985,0.7223,0.6074,0.500925,0.24,0.6074,0.572998,F
UCJJ_n7RI2ALoo5wdX2qzmYA,수상한생선 Life Science,0.24,0.005,0.902,0.004,0.6469,0.6049,0.316025,0.24,0.6049,0.460697,C
UCtwxuughKbSAV0e4bnz4ORg,홍시네마 𝘏𝘰𝘯𝘨𝘊𝘪𝘯𝘦𝘮𝘢,0.2333,0.28,0.962,0.171,0.4758,0.6062,0.4843,0.2333,0.6062,0.50191,D
UC0imORt231LWWyyotvE3lUw,실화 On,0.2133,0.003,0.952,0.996,0.7683,0.6049,0.545675,0.2133,0.6049,0.603203,F
UC-x55HF1-IilhxZOzwJm7JA,김사원세끼,0.2,0.069,0.87,0.0,0.8294,0.6091,0.2774,0.2,0.6091,0.48469,D
UC_tnGAhy3uj0tshK5Miyi2g,레리꼬 LET IT GO,0.2,0.053,0.932,0.921,0.6733,0.8701,0.5581750000000001,0.2,0.8701,0.690453,F
UCeAEYjNRozsh-MHT10EUEVA,핫썰,0.2,0.004,0.93,0.0,0.9319,0.1732,0.250525,0.2,0.1732,0.322518,A
UC2vZ-y5LAIaqJt5aIp9o-Tg,Korea Narrative Live,0.2,0.005,0.044,0.014,0.6848,0.182,0.09455000000000001,0.2,0.182,0.186275,A
UCBquPwf_YEAzCmPpd_tfzAA,매드무비 : MadMovie,0.2,0.026,0.031,0.887,0.7498,0.8774,0.29855,0.2,0.8774,0.582685,F
UCb_GEWOGkCTXawWZKDtALwg,구불,0.2,0.105,0.007,0.993,0.6912,0.6072,0.35345,0.2,0.6072,0.487405,D
UC4P7F8qenDo1O_5NvgBb_cg,발스타홍구,0.1933,0.003,0.879,0.0,0.7673,0.6064,0.278675,0.1933,0.6064,0.468052,C
UCYIHDeG1tLCuO9rMNVHubJg,여행자메이 [Traveler May],0.1933,0.02,0.004,0.062,0.5941,0.6114,0.122975,0.1933,0.6114,0.348903,A
UCcjFBc6EZ76yJarqU1AYuhA,오늘의 매드무비,0.1933,0.949,0.04,0.063,0.3695,0.8652,0.420625,0.1933,0.8652,0.543098,D
UCzK9qn0B4B-yL0uEzjxTp_w,랜덤TV,0.1933,0.008,0.016,0.002,0.7201,0.6116,0.07647500000000002,0.1933,0.6116,0.357233,B
UCqMixH4Cc7CdySihHG4kkIA,떡호떡,0.1867,0.004,0.102,0.0,0.8275,0.6024,0.06962499999999999,0.1867,0.6024,0.376318,B
UC-DR5sk-YE3EIN_N928JoRA,뻔펀,0.1867,0.046,0.857,0.953,0.6583,0.6105,0.5494249999999999,0.1867,0.6105,0.577157,F
UCnkytUgy0CtWd06up9CjNxg,가재맨,0.18,0.003,0.137,0.903,0.8082,0.6085,0.30870000000000003,0.18,0.6085,0.4928,D
UCeRn_02zEifLqXxZkTpiXzA,입만산_김루윈,0.18,0.003,0.027,0.002,0.8059,0.6078,0.05652500000000001,0.18,0.6078,0.365858,B
