channel_id,n_videos,n_comments,net_sentiment_score,pos_ratio,neu_ratio,neg_ratio,like_weighted_nss,loyalty_score,churn_warning_score,polarization_score,avg_comment_len,emoji_ratio,laugh_ratio,cry_ratio,question_ratio
UC-NiIeWEem2yb9Zq-p9glsg,3,3,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.67,0.0,0.0,0.0,0.0
UC-NrO4PMMa8zyMyTBy-nCaA,10,500,0.662,0.76,0.142,0.098,0.6788,0.096,0.002,0.2979,51.24,0.352,0.032,0.274,0.082
UC-tf6zl3dN2oTpvdTnBKScA,10,499,0.2745,0.5331,0.2084,0.2585,0.376,0.0341,0.002,0.5512,29.14,0.2044,0.4529,0.0261,0.0581
UC0YPr7SRdmyrMFvtITxyeFg,9,335,0.2716,0.4358,0.4,0.1642,0.2686,0.0458,0.01,0.2862,30.7,0.1045,0.0836,0.0179,0.1313
UC117YBQAv8PiIjKTO9QX2Tg,10,500,0.63,0.786,0.058,0.156,0.5468,0.0407,0.002,0.4905,42.48,0.238,0.244,0.072,0.074
UC13r2XVC5h3unwWgo25puAw,10,494,0.5162,0.7065,0.1032,0.1903,0.1643,0.0688,0.0061,0.5377,46.79,0.1356,0.2065,0.1012,0.0344
UC1CJvCb5_NLK0AT_aEZ8qLg,3,150,0.6133,0.76,0.0933,0.1467,0.3367,0.2,0.0,0.4459,68.44,0.22,0.0133,0.1667,0.12
UC1L79yKbmVepsCYusa4KHLQ,10,359,0.2981,0.5042,0.2897,0.2061,0.3529,0.0102,0.0019,0.4157,22.62,0.1588,0.2368,0.0167,0.1003
UC22gayxEPsQLhZXpHDjS8Qg,10,195,0.559,0.6615,0.2359,0.1026,0.6163,0.0803,0.0017,0.2714,42.63,0.4308,0.0923,0.1795,0.1179
UC2ST2e5XrCTJyQRqaw2gTOA,10,298,0.5034,0.6678,0.1678,0.1644,0.6155,0.0626,0.0011,0.4392,31.87,0.1443,0.245,0.2013,0.0906
UC2T9zrKUzAilUF16icE7Uhw,10,443,0.3115,0.5485,0.2144,0.237,0.231,0.0324,0.0,0.5201,31.87,0.0068,0.0632,0.0903,0.1016
UC2WbWQ3tQNeCRyXBsAeqWhw,10,266,0.3083,0.4586,0.391,0.1504,0.3186,0.0414,0.0,0.2759,27.85,0.0677,0.0714,0.0301,0.1015
UC3Nr160SThve_tIxYUyi8-w,10,494,0.5,0.6741,0.1518,0.1741,0.5136,0.0513,0.004,0.4694,28.87,0.1822,0.2895,0.0304,0.1012
UC3qNTxR0q03rgRAV8QUZa2Q,10,304,0.4276,0.6283,0.1711,0.2007,0.5056,0.0504,0.0066,0.5043,50.88,0.2566,0.2632,0.0888,0.125
UC48NSSfUBsmL0k0wKxSqRkw,10,475,0.4126,0.6211,0.1705,0.2084,0.0988,0.0232,0.0028,0.5178,33.74,0.1242,0.3495,0.0295,0.0821
UC4AmT1rF5IQ9bbVm9zotzBw,10,30,0.9667,0.9667,0.0333,0.0,0.9697,0.3444,0.0,0.0,38.33,0.2667,0.0,0.0,0.0333
UC4VljnooZZkRhhb5s5rv1Mw,10,438,0.4247,0.6164,0.1918,0.1918,0.2599,0.0487,0.0046,0.4729,26.92,0.3402,0.1849,0.0434,0.105
UC55V9wd4rmowhCvjPXiTmFA,10,426,0.5258,0.6925,0.1408,0.1667,0.4795,0.0282,0.0,0.4617,32.7,0.2042,0.2606,0.1878,0.0728
UC560CFl_H6B2eN-dQ2ZRB_w,10,230,0.2522,0.4696,0.313,0.2174,0.5152,0.0072,0.0,0.4083,29.0,0.3348,0.0652,0.0217,0.1043
UC5D5VhXj_9JWr3IskPYOEdA,10,105,0.2,0.4667,0.2667,0.2667,0.3902,0.019,0.0159,0.4978,32.97,0.1905,0.0476,0.1048,0.2
UC5KDvE51c8EqBK8G3Lv-7-g,10,446,0.5785,0.7063,0.1659,0.1278,0.6656,0.0501,0.0,0.3611,41.04,0.3969,0.0516,0.0807,0.0493
UC5Mtt2WIemzXJIjC64gV2EA,9,342,0.2515,0.538,0.1754,0.2865,0.3024,0.0273,0.0,0.6167,34.83,0.0906,0.2749,0.1053,0.1082
UC5b2_GAScxz4guty7rv4Ulg,10,499,0.4128,0.6072,0.1984,0.1944,0.3121,0.0381,0.0007,0.4721,41.58,0.2104,0.1122,0.006,0.1242
UC5m1d4sPHnpcLCJEu3j2FpQ,10,485,0.3072,0.5938,0.1196,0.2866,0.0204,0.0749,0.0,0.6807,111.67,0.2082,0.1423,0.1299,0.0742
UC5rYqOqmrUW9hMFPHtagKQA,9,173,0.6994,0.7919,0.1156,0.0925,0.7386,0.0385,0.0,0.293,48.71,0.4971,0.1618,0.0462,0.0405
