channel_id,title,published_at,country,uploads_playlist,subscriber_count,view_count,video_count
UCjZA6pWNnfAESCzS6nyysrg,아티공작소,2016-10-21T05:24:10Z,,UUjZA6pWNnfAESCzS6nyysrg,7870,2778604,139
UCBDLYN9K-h0N4_nIlruzsOA,상황,2014-09-20T21:45:08Z,KR,UUBDLYN9K-h0N4_nIlruzsOA,8330,2215468,211
UCtM1nXRV1RIHkrGePyWK-NQ,월드스타 사월끝순 world star_Sisters,2012-08-26T05:19:48Z,KR,UUtM1nXRV1RIHkrGePyWK-NQ,8060,1244448,201
UC0eKU-46gbDgPZYrc3NC9dQ,SASAM 43!,2018-11-02T13:28:20Z,KR,UU0eKU-46gbDgPZYrc3NC9dQ,8080,6889,1
UCzbveWwCXKW_G-TuOMb44Rw,흑곰푸우,2016-03-14T10:33:53Z,KR,UUzbveWwCXKW_G-TuOMb44Rw,7830,12262868,88
UCqhShNZPaP7FlXMZtOpFa0A,Paul Alexandre Fournier (폴서울),2017-06-20T19:27:33Z,KR,UUqhShNZPaP7FlXMZtOpFa0A,7810,292233,56
UCKrDnpH6z0Jecev4FnSn9dg,Kang Kim,2013-12-09T13:43:55Z,KR,UUKrDnpH6z0Jecev4FnSn9dg,7940,815,3
UCQ_iJkuEJFStr2r4eeq-tHA,atooTV,2012-04-27T06:08:17Z,,UUQ_iJkuEJFStr2r4eeq-tHA,7860,7390315,2735
UCc8oxFiOul73Rk0xRy2TiiQ,얼큰토끼 Allto,2016-02-02T12:05:40Z,KR,UUc8oxFiOul73Rk0xRy2TiiQ,8080,1205158,92
UCrEeHwGWR3hjvKxeIZLDEUw,오스카의 오아시스,2015-04-13T15:42:00Z,,UUrEeHwGWR3hjvKxeIZLDEUw,7590,3213477,20
UCLfrjkbU1cKSPMd4bjuRjzA,짱세Zzangse,2015-10-16T06:12:58Z,,UULfrjkbU1cKSPMd4bjuRjzA,8060,1951071,144
UCJz-o2ceen3wnNSlXL4zgoQ,애견미용tv,2018-10-08T07:21:19Z,,UUJz-o2ceen3wnNSlXL4zgoQ,7910,2988238,413
UCEdClKUFn1Rqf1txO_sFeLw,BravoDoremi,2012-05-08T07:27:16Z,KR,UUEdClKUFn1Rqf1txO_sFeLw,8080,7797481,330
UC4zHnlvY_pq7aHfsj2LkEVA,toyworld2011,2011-08-22T15:00:26Z,,UU4zHnlvY_pq7aHfsj2LkEVA,7820,12913840,20
UCFugbLqHGuSDblyxm8bFV2w,박범계TV,2012-01-14T02:51:07Z,KR,UUFugbLqHGuSDblyxm8bFV2w,7980,808605,332
UC0JYZGgEHVTjsj0UPpPvamQ,och my snufkin,2015-08-10T14:32:57Z,KR,UU0JYZGgEHVTjsj0UPpPvamQ,7830,3991785,108
UCbpZmrzV1gjzjP6nnDwmTXA,Nhỏ Mê Decor,2016-08-08T02:21:03Z,VN,UUbpZmrzV1gjzjP6nnDwmTXA,8140,1366378,166
UCRdh8j7Fb0mrARIFt0DYRdA,미친SNS,2016-11-01T16:45:48Z,KR,UURdh8j7Fb0mrARIFt0DYRdA,7900,18646,9
UCXtICqVTrgnjVnNmVSAQUNg,Isabella Lee,2011-04-27T03:36:22Z,KR,UUXtICqVTrgnjVnNmVSAQUNg,7940,1160153,340
UCvMxarWSqoEnA4MVa31Ehkw,STARsurvey(Brand Power Ranking) ,2013-08-08T06:51:10Z,KR,UUvMxarWSqoEnA4MVa31Ehkw,7600,2885226,732
UCQ-osGfSLx-pK97ASaeccvQ,까막,2014-10-19T04:19:42Z,KR,UUQ-osGfSLx-pK97ASaeccvQ,7660,4724385,8166
UCiHk_Hsth1basT5Wxf9jDsg,Ami Design TV,2012-08-21T04:56:36Z,KR,UUiHk_Hsth1basT5Wxf9jDsg,7830,340041,25
UCZTC4xdiODiCpOHK4SyEPJQ,조기석[마왕TV](조기석),2014-08-16T17:19:53Z,KR,UUZTC4xdiODiCpOHK4SyEPJQ,7750,2705889,438
UCwLjtOxkk9hlyqh6DN1a0Cg,예고공식,2024-12-29T14:12:27.966309Z,KR,UUwLjtOxkk9hlyqh6DN1a0Cg,10300,29479891,115
UCYq79pLYv0yxemHsvdNRFiQ,SSCD(소심촌닭),2017-04-19T13:27:43Z,KR,UUYq79pLYv0yxemHsvdNRFiQ,7950,1633195,170
UCZU2Mc1I9h2DieZIDlL4DGg,올커버TV,2012-01-15T14:32:41Z,KR,UUZU2Mc1I9h2DieZIDlL4DGg,7880,5294672,1607
UCTPUvaG0RhtJjtmP1mLoXIg,천배달,2018-08-17T03:31:14Z,KR,UUTPUvaG0RhtJjtmP1mLoXIg,8380,9828449,791
UCeAsJNAoz7jzHPVZTUsXlmQ,라오스 [Laos life],2019-06-08T18:56:42Z,KR,UUeAsJNAoz7jzHPVZTUsXlmQ,7900,5970,2
UCHXkz9THixEQjBLV3NZveoQ,사파리출판사,2014-12-02T08:51:27Z,KR,UUHXkz9THixEQjBLV3NZveoQ,7590,381460,143
UCoWMNArRynGrpG844K8-r1Q,솔그린,2015-03-29T10:22:05Z,KR,UUoWMNArRynGrpG844K8-r1Q,7730,137606,89
UCL-BDGVUUsX9pyQ8_Pf8_Ag,Rotarypark,2014-11-10T07:41:29Z,,UUL-BDGVUUsX9pyQ8_Pf8_Ag,8010,2515852,14
UCgh0SRwH0cldjWwmlgF0mMQ,Aiphonic Vibes,2025-10-10T09:39:41.771012Z,KR,UUgh0SRwH0cldjWwmlgF0mMQ,9850,2477359,85
UCKxjcLS43kgvpnKb32nfxdQ,학습,2016-01-17T08:10:15Z,KR,UUKxjcLS43kgvpnKb32nfxdQ,7810,5411520,73
UCReB-UDqQFMtAFvYdORyfTA,동준,2017-05-02T01:44:16Z,KR,UUReB-UDqQFMtAFvYdORyfTA,7870,4277444,396
UC7uYo6MoF8k3WTxJGCSY0nA,에디레일 Eddy Rails,2010-03-24T04:57:57Z,KR,UU7uYo6MoF8k3WTxJGCSY0nA,7660,4553585,540
UCvlAn9xCty7de-mX09LtcRQ,PlayersCUT_TV,2011-09-07T05:12:29Z,KR,UUvlAn9xCty7de-mX09LtcRQ,8110,11364046,323
UC9uLhUGmjRHlILV-vSZ61KA,뉴발란스 코리아,2010-04-28T06:01:43Z,KR,UU9uLhUGmjRHlILV-vSZ61KA,8290,31737625,657
UCZWMgHQXBO_weJ9uvwnOdbA,해피스튜디오키즈 Happy Studio Kids,2018-12-26T03:04:37Z,KR,UUZWMgHQXBO_weJ9uvwnOdbA,7800,3013107,9
UCj62SJuOLVN49NXiEDzm1yw,I am a bartender,2014-03-08T09:19:25Z,,UUj62SJuOLVN49NXiEDzm1yw,7970,2667336,121
UCrRgzk3O9hjPuCmdxPQqbew,FLETA Media (FLETA),2010-09-27T01:06:10Z,KR,UUrRgzk3O9hjPuCmdxPQqbew,8140,5008430,1860
UCYCMKkH2AsCdF2M_XD13Q1g,buruze kim,2008-07-06T04:51:03Z,,UUYCMKkH2AsCdF2M_XD13Q1g,7770,2659785,506
UCy8D8DZ0gAffmafF3izFezQ,린나이팝스오케스트라,2011-09-22T23:51:29Z,,UUy8D8DZ0gAffmafF3izFezQ,8000,4998313,227
UCa3YM0yidUOF-5M6bQmQuHA,라피,2012-12-11T09:08:13Z,KR,UUa3YM0yidUOF-5M6bQmQuHA,8080,689270,77
UCDgz8c2bv-VaTbraQQFdpjQ,빈집살이,2011-05-20T04:16:23Z,KR,UUDgz8c2bv-VaTbraQQFdpjQ,8120,262626,24
UCrnPse567tctv0yR8dE5gVg,PizzaHut Korea,2011-09-27T11:49:05Z,KR,UUrnPse567tctv0yR8dE5gVg,8190,137124025,283
UCqoLV21oqbYetfuRvJe4GyA,두브레인 - 유아 어린이 두뇌교육,2016-12-10T11:23:26Z,KR,UUqoLV21oqbYetfuRvJe4GyA,8020,4727135,21
UCmfsmMSU7EZlS44nArPQjMw,카모마일T,2016-03-07T05:17:50Z,KR,UUmfsmMSU7EZlS44nArPQjMw,7880,443282,95
UC6wqegt31WCWdwF4ZJDkjUw,어쩌다람쥐,2017-07-04T05:39:27Z,KR,UU6wqegt31WCWdwF4ZJDkjUw,7610,11320215,23
UCjRF3YLKjXh7_0w1o-I3loA,맛없냥 nyangdagu,2014-05-28T10:51:16Z,,UUjRF3YLKjXh7_0w1o-I3loA,8040,2713,11
