channel_id,title,published_at,country,uploads_playlist,subscriber_count,view_count,video_count
UChlovtoioWRiv703Ebx2CrA,IRONDADDY 아이언대디,2016-04-23T06:59:23Z,KR,UUhlovtoioWRiv703Ebx2CrA,263000,96789227,354
UC8RgkxM4r-peMjEY-jI4Jzw,고수 GOSU,2021-12-31T18:54:07.786152Z,KR,UU8RgkxM4r-peMjEY-jI4Jzw,259000,93325580,249
UCK1B7KLih3kE1Iy0SCBDzkQ,스간TV,2013-08-29T05:26:30Z,KR,UUK1B7KLih3kE1Iy0SCBDzkQ,254000,246352950,4481
UC141BuVRzSSXJX33Am9yxEA,소니쇼게임방송,2016-05-08T05:31:44Z,KR,UU141BuVRzSSXJX33Am9yxEA,257000,234647491,2835
UCxLc0zV-d2elxan2nc2xRCA,ᄐᄇᄐᄇ TVTV,2021-05-25T06:47:58.613879Z,KR,UUxLc0zV-d2elxan2nc2xRCA,255000,1147511360,7315
UChbSCzDSKP_m4V5aEX1bmCA,운학 TV,2012-06-28T16:05:30Z,KR,UUhbSCzDSKP_m4V5aEX1bmCA,257000,157611483,1767
UC-9v2ASxz8f313YpiMF55eg,김데데,2019-02-27T05:07:19Z,KR,UU-9v2ASxz8f313YpiMF55eg,257000,156441589,1095
UCD_grsVgMmTBE48uWk_xWXw,!t Live,2017-11-22T07:55:15Z,,UUD_grsVgMmTBE48uWk_xWXw,258000,30828152,399
UCqaXPyhWGtS_Vt20GQQDSbg,박작가의 크립토연구소,2016-12-13T11:21:56Z,KR,UUqaXPyhWGtS_Vt20GQQDSbg,259000,38318841,1194
UCxW1hAkazdr2V81eEogoJUw,미니상[이상민],2014-12-01T05:13:46Z,KR,UUxW1hAkazdr2V81eEogoJUw,259000,96866138,568
UCRvrYUbatHPDc-snY-jCG0A,광주MBC,2014-05-13T07:21:26Z,KR,UURvrYUbatHPDc-snY-jCG0A,263000,126398522,11241
UC_ZGfQ1Iw9uk8Avr8ohjSdg,내맘에콬,2015-11-27T10:47:30Z,KR,UU_ZGfQ1Iw9uk8Avr8ohjSdg,257000,213263944,780
UC6yT4x7x3ICRwD-BZEVfThA,수현,2016-01-07T18:32:22Z,KR,UU6yT4x7x3ICRwD-BZEVfThA,263000,13994393,119
UCKcXypG00FkZfI_4FIcN1kA,박병찬의 부자병법,2018-05-01T11:27:44Z,KR,UUKcXypG00FkZfI_4FIcN1kA,262000,36569394,1122
UCaWVEjVYBOSpB4gIHv78aFA,영민하다,2011-11-03T15:40:02Z,KR,UUaWVEjVYBOSpB4gIHv78aFA,255000,27650218,91
UC5Oq6jxwXcIHMAnKvOluWcg,안스타,2020-01-13T12:37:58.788384Z,KR,UU5Oq6jxwXcIHMAnKvOluWcg,264000,73394778,1291
UCKmLQtR0YfTE6-gXFpR077A,키즈퐁당,2017-08-19T06:16:34Z,KR,UUKmLQtR0YfTE6-gXFpR077A,259000,179307437,274
UCRnoBo60_joBvIQCoAiNCqg,월간 윤종신,2011-06-22T11:39:57Z,,UURnoBo60_joBvIQCoAiNCqg,259000,258376040,676
UCII-TCayU-6gkfzfgJKsFZw,망구 MANGOO,2014-02-04T14:34:15Z,KR,UUII-TCayU-6gkfzfgJKsFZw,259000,80056416,151
UCPTy0BNqiv-0SdAvFgrXvXg,매경 자이앤트,2018-12-13T06:50:29Z,KR,UUPTy0BNqiv-0SdAvFgrXvXg,273000,33492736,2655
UCM9BpIEKSAFlWwsGNJ2nDFQ,쎄게형TV,2017-05-01T09:38:11Z,KR,UUM9BpIEKSAFlWwsGNJ2nDFQ,262000,61269327,262
UCVPkwz7nxd5bbR536ugmiBw,우니의끼니 UNIII,2012-11-20T14:48:59Z,KR,UUVPkwz7nxd5bbR536ugmiBw,261000,178835627,547
UCZ6IM7_T-bCmr_7DgAKjYxg,피닉스박,2014-05-18T05:43:41Z,KR,UUZ6IM7_T-bCmr_7DgAKjYxg,260000,210250100,1806
UCB9etEztDELjmiVu8kP5R-g,빌리온에어 Billyonaire,2016-10-19T09:58:35Z,KR,UUB9etEztDELjmiVu8kP5R-g,260000,52488906,348
UCfhGg1ZQ5W44nWx4WRhneRw,기즈모 gizmo,2015-05-11T01:17:16Z,KR,UUfhGg1ZQ5W44nWx4WRhneRw,261000,51261257,728
UCjLDL_hX8XrwSRMUba-39Fw,보더로운생활,2016-07-23T04:08:35Z,,UUjLDL_hX8XrwSRMUba-39Fw,257000,148243350,523
UCK4e43j54PTfTkZAt8-et3A,수사샤suesasha,2012-01-13T06:06:41Z,KR,UUK4e43j54PTfTkZAt8-et3A,264000,58372873,243
UC5Bf4dJ3dR9C3COg7_qmf2g,힘의길 / Road of the strength,2018-11-22T15:02:48Z,KR,UU5Bf4dJ3dR9C3COg7_qmf2g,254000,188888124,1212
UCmEvondZWMdSeOBj4NSFU7A,뉴띵 NDD,2019-03-19T10:48:09Z,KR,UUmEvondZWMdSeOBj4NSFU7A,254000,76630588,111
UCCQPdv4o4ywVZQkAMOlvFbw,오목교 전자상가,2021-05-04T06:37:18.64208Z,KR,UUCQPdv4o4ywVZQkAMOlvFbw,264000,90503091,750
UC9P1tkf6e0hS7vzuDEuuAeA,쏭냥,2015-01-16T15:00:44Z,KR,UU9P1tkf6e0hS7vzuDEuuAeA,260000,44515207,805
UCR1ZCKviygL2NQ8m0T4hBWA,KOMERICAN,2017-05-04T03:29:11Z,KR,UUR1ZCKviygL2NQ8m0T4hBWA,266000,181875099,844
UCunQJrd9yphZEH0Etwjnabw,스맵,2020-12-22T08:11:07.339581Z,,UUunQJrd9yphZEH0Etwjnabw,257000,107075994,832
UCZcQf6OeCFqEd_3eTqtODgQ,커맨더지코,2014-04-10T12:42:01Z,KR,UUZcQf6OeCFqEd_3eTqtODgQ,258000,439960960,4490
UCWQ0Xc5W-f2oSgx_Eohi9bQ,Coco Riley (코코 라일리),2016-04-04T05:41:12Z,KR,UUWQ0Xc5W-f2oSgx_Eohi9bQ,259000,28998969,381
UC5IRvBJPLTMF4-FhyVmbBbQ,림툰_limtoon,2019-10-07T19:00:01Z,KR,UU5IRvBJPLTMF4-FhyVmbBbQ,261000,139020742,237
UC8rDleR669f72Sha9PQK11A,수니,2017-10-07T00:43:03Z,KR,UU8rDleR669f72Sha9PQK11A,258000,152647085,845
UCxbxK61xeFoymuxmi4ik73g,표림,2016-11-16T07:14:39Z,KR,UUxbxK61xeFoymuxmi4ik73g,266000,151841977,581
UC9aEa6zVK12OZaWyTIPX9jw,흉폭한 포로 Violent Poro,2017-06-30T12:21:33Z,KR,UU9aEa6zVK12OZaWyTIPX9jw,254000,53505583,67
UCJkpp4LpHyLteBAPpqWyMRw,도레,2017-01-04T18:01:29Z,KR,UUJkpp4LpHyLteBAPpqWyMRw,258000,98262548,987
UCCFLyWRmaMeQ0f4ndIeChOw,주호다,2022-04-18T14:28:48.668949Z,KR,UUCFLyWRmaMeQ0f4ndIeChOw,259000,169204662,947
UCqJgW8m3MsYoJg3MJVaEWOQ,HayDay,2018-08-05T18:33:23Z,KR,UUqJgW8m3MsYoJg3MJVaEWOQ,259000,119024360,6713
UCgHMe3RRfc9yFwHx3vK9ChQ,Petty Reads,2014-10-24T14:52:38Z,KR,UUgHMe3RRfc9yFwHx3vK9ChQ,260000,31784,56
UCfLAn71HQuv5vVte_85v5AQ,SHINHWA OFFICIAL,2012-01-30T02:32:49Z,KR,UUfLAn71HQuv5vVte_85v5AQ,259000,131338671,136
UCFaADzZrWpVm6u7LKob75Iw,이환,2017-12-26T23:00:01Z,KR,UUFaADzZrWpVm6u7LKob75Iw,257000,87017858,391
UCyje3jvepx1bolRDjZYsF2g,한국개똥이[캄보디아생활],2018-04-21T06:12:21Z,KR,UUyje3jvepx1bolRDjZYsF2g,263000,211105620,765
UC5ND7OLp4FVa9NEH-8LP3Jw,왓섭! 공포라디오,2010-09-23T15:51:41Z,KR,UU5ND7OLp4FVa9NEH-8LP3Jw,261000,107301112,4191
UC5Mtt2WIemzXJIjC64gV2EA,룰루랄라 스토리랩- Lululala Story Lab,2019-03-19T09:04:26Z,KR,UU5Mtt2WIemzXJIjC64gV2EA,260000,67269369,124
UCmDHYYeHHmOjvC9ZNswVBJg,대발이TV - 율동 동요・동화,2019-07-08T02:04:44Z,KR,UUmDHYYeHHmOjvC9ZNswVBJg,262000,240599515,1716
UCI6BtH3_2Sq4oahyaSpoXKQ,Sweet Color,2022-02-19T22:31:35.718874Z,KR,UUI6BtH3_2Sq4oahyaSpoXKQ,262000,101301037,536
