channel_id,title,published_at,country,uploads_playlist,subscriber_count,view_count,video_count
UCE6e9tjKl3l3nGlAcxH7GQg,[AmiAmi]아미아미,2015-04-24T11:29:09Z,KR,UUE6e9tjKl3l3nGlAcxH7GQg,2110000,934347654,1295
UClRNDVO8093rmRTtLe4GEPw,곽튜브,2018-10-16T17:14:53Z,KR,UUlRNDVO8093rmRTtLe4GEPw,2150000,674054968,445
UCpJw2H9KKqwCCGQKRh1Bf2w,T1 Faker,2017-02-09T04:13:19Z,KR,UUpJw2H9KKqwCCGQKRh1Bf2w,2120000,458199585,1455
UCR5cyf8hncN_AaQPfmvmlgA,KBS 레전드 케이팝,2019-11-19T00:36:13.395099Z,KR,UUR5cyf8hncN_AaQPfmvmlgA,2150000,2577488164,30626
UCgheNMc3gGHLsT-RISdCzDQ,세바시 강연 Sebasi Talk,2011-05-27T14:13:23Z,KR,UUgheNMc3gGHLsT-RISdCzDQ,2200000,622972418,4108
UCyTQoMLiPfsRLHBJBtMXKYg,제이키아웃 JAYKEEOUT,2015-09-17T01:06:37Z,KR,UUyTQoMLiPfsRLHBJBtMXKYg,2170000,427131333,497
UC_6zPf4uuteHFFctnQtEaXQ,ARIRANG K-POP,2008-12-11T04:40:19Z,KR,UU_6zPf4uuteHFFctnQtEaXQ,2080000,1134066793,38873
UCazay-C-shtEEUO78ObKGJg,해그린달 haegreendal,2018-10-02T16:41:27Z,KR,UUazay-C-shtEEUO78ObKGJg,2080000,102771111,62
UCcNUpInQt1tI3JC_oTPQ20w,요리왕비룡 Korean Food Cooking,2013-10-19T18:53:25Z,KR,UUcNUpInQt1tI3JC_oTPQ20w,2130000,594272853,1664
UCJEER74X9kBenMT_x9iK9Mw,FIFTY FIFTY Official,2022-10-31T07:00:22.530659Z,KR,UUJEER74X9kBenMT_x9iK9Mw,2180000,1131660240,990
UC2o_y872S6YvaO1K8EYnoxg,조재원,2013-10-30T18:34:40Z,KR,UU2o_y872S6YvaO1K8EYnoxg,2160000,1242106753,904
UCN106RQxroojNzkEMuRC0BA,캐리와 친구들,2014-08-04T06:34:16Z,KR,UUN106RQxroojNzkEMuRC0BA,2080000,3151009418,3659
UCHy8o-_zR_vHqpPN4uNUvkg,푸디랜드 FoodieLand,2020-03-15T08:19:12.181831Z,KR,UUHy8o-_zR_vHqpPN4uNUvkg,2210000,1331660049,966
UC3lz95UPhKJW1aS3_za6SuQ,United CUBE (CUBE Entertainment Official YouTube Channel),2012-08-01T06:50:33Z,KR,UU3lz95UPhKJW1aS3_za6SuQ,2200000,788286980,1678
UC5vXjgHeenPq0lTSokouxdA,CHEN,2019-03-07T01:41:02Z,KR,UU5vXjgHeenPq0lTSokouxdA,2040000,233483699,134
UCtm_QoN2SIxwCE-59shX7Qg,SPOTV,2007-10-27T19:31:03Z,KR,UUtm_QoN2SIxwCE-59shX7Qg,2210000,1821795047,16164
UCikSO7mSQl-lx3BJOBzqA8w,짠한형 신동엽,2023-08-07T05:49:40.870373Z,KR,UUikSO7mSQl-lx3BJOBzqA8w,2110000,619575490,639
UCNzcxCN_Hh_lu5RCSFXKgGQ,김블루,2012-04-11T11:58:10Z,KR,UUNzcxCN_Hh_lu5RCSFXKgGQ,2240000,5496558081,4677
UC79hJz6y1EEiIkwfHOuWC4w,김시선,2014-09-07T14:17:17Z,KR,UU79hJz6y1EEiIkwfHOuWC4w,2120000,1046227764,1267
UCee1MvXr6E8qC_d2WEYTU5g,강형욱의 보듬TV,2016-12-13T05:56:37Z,KR,UUee1MvXr6E8qC_d2WEYTU5g,2180000,1193644609,1275
UCitKV0ebZVbtU2nIPihDGMQ,Dollightful,2016-01-17T03:27:04Z,KR,UUitKV0ebZVbtU2nIPihDGMQ,2040000,368081093,213
UCcnk_XPx9NtZDFhBdz-DfIA,채널 NCT DANCE,2018-10-15T06:28:37Z,KR,UUcnk_XPx9NtZDFhBdz-DfIA,2020000,231697734,42
UCaxbXRPhdHPXjM-e-F00LVA,띱 Deep,2022-04-09T12:25:47.455758Z,,UUaxbXRPhdHPXjM-e-F00LVA,2170000,885021456,384
UCskIKQGpjI5sG2ZLtWLYSmw,미스&미스터트롯,2019-12-24T12:41:01.856812Z,KR,UUskIKQGpjI5sG2ZLtWLYSmw,2070000,3256598230,13891
UC6_kmAF-67rCiIpa3dCit5A,채널 NCT MUSIC,2018-10-15T06:33:08Z,KR,UU6_kmAF-67rCiIpa3dCit5A,2180000,236007381,29
UCdnG_x4W3C3TfxK6dWLcs_w,Imaginative Guy,2008-02-21T08:32:14Z,KR,UUdnG_x4W3C3TfxK6dWLcs_w,2080000,741054946,204
UCsxbX6QnOLal_qzzMK9AR9g,MBN MUSIC,2020-11-25T10:24:25.807938Z,KR,UUsxbX6QnOLal_qzzMK9AR9g,2240000,3577982704,9788
UCn_9mH91rLWez9SZ6AdjfYg,Partition Sion,2016-08-14T16:29:04Z,KR,UUn_9mH91rLWez9SZ6AdjfYg,2240000,1500682709,1139
UCZS9wEZ4itPbBZk_sqccXfw,미래에셋 스마트머니(Smart Money),2014-04-15T08:50:06Z,KR,UUZS9wEZ4itPbBZk_sqccXfw,2320000,410710549,4895
UCuX8lXIexG8dRXFx54CVm2Q,CL Official Channel,2019-11-21T01:13:35.854589Z,KR,UUuX8lXIexG8dRXFx54CVm2Q,2060000,358283300,72
UCFg3rtPVsLpWsaO7kTURikw,현대자동차그룹(HYUNDAI),2013-07-16T05:11:20Z,KR,UUFg3rtPVsLpWsaO7kTURikw,2210000,382424467,1671
UCLsj_Re3SxtkbZfX_ypY1eQ,수리노을SuriNoel,2010-11-22T04:27:14Z,KR,UULsj_Re3SxtkbZfX_ypY1eQ,2110000,906839172,1380
