channel_id,title,published_at,country,uploads_playlist,subscriber_count,view_count,video_count
UCVfuaM8s5R5hl8Agqi1Mgyw,BByoi Crafts 뾰이월드 - 만들기,2021-07-31T10:54:37.342324Z,KR,UUVfuaM8s5R5hl8Agqi1Mgyw,85600,58212717,95
UCZCiOVgBEb7IHdSOjQrsmmw,후스파파의 부동산 상식사전,2019-03-07T07:12:27Z,KR,UUZCiOVgBEb7IHdSOjQrsmmw,86500,12864714,936
UCEfu1UaJroz-n91UFLtLzMA,4살5살6살엄마,2019-03-13T12:28:06Z,KR,UUEfu1UaJroz-n91UFLtLzMA,83900,18563035,252
UCJXmxIlpj9eb-bNLYOel0iQ,올림픽,2022-08-09T14:05:09.425731Z,CH,UUJXmxIlpj9eb-bNLYOel0iQ,110000,127276904,1803
UC2ja61Zku_rw3ZBfDZi8cuQ,KCM TV,2015-09-02T09:21:07Z,KR,UU2ja61Zku_rw3ZBfDZi8cuQ,88300,143300701,2942
UC7MbQzcQc73UU489d8cR1VA,보드라이브 BoardLiveGame,2017-01-25T09:03:46Z,KR,UU7MbQzcQc73UU489d8cR1VA,86300,27195310,2442
UCUHJbhUzveBsZMNbfveG6KA,문성실TV Moon's kitchen,2015-12-22T05:47:01Z,KR,UUUHJbhUzveBsZMNbfveG6KA,83800,69752075,715
UCaF0QcmXcjGva4vMmJEHRwQ,남자들의 주부생활 men's cooking,2015-02-04T09:16:49Z,KR,UUaF0QcmXcjGva4vMmJEHRwQ,84400,10741813,785
UCDBqRcU0xBcODj0sToZyxxg,방판뮤직 어디든 가요,2022-05-09T07:27:06.430409Z,KR,UUDBqRcU0xBcODj0sToZyxxg,87700,26134442,178
UCKDryfi71TjzKFkr9J9wzew,MUKBANG NEUNG 만능방송,2015-03-01T21:55:27Z,KR,UUKDryfi71TjzKFkr9J9wzew,86100,47105946,2540
UC5zXl0ARIleCjq2YpGXWp1w,일간스포츠,2015-01-22T05:51:32Z,KR,UU5zXl0ARIleCjq2YpGXWp1w,86000,30090343,1885
UCns5w9w0RC2S4Z8fYb4Sk2Q,텍사스 부뚜막  Texas Stove,2020-05-31T20:19:35.969895Z,US,UUns5w9w0RC2S4Z8fYb4Sk2Q,84500,28884147,366
UCX4K7Pf1yifbdlVDbk3_hgw,로튼애플 영화리뷰 (Rotten Apple Movie Review),2017-08-07T07:48:29Z,KR,UUX4K7Pf1yifbdlVDbk3_hgw,83700,20410937,146
